RED1,IR1
49,36
40,95
56,43
46,39
38,20
39,4
48,52
45,71
48,91
43,3
51,24
42,27
48,97
50,11
38,86
37,45
49,55
49,20
75,6
60,40
55,26
53,55
44,36
51,72
45,21
48,36
55,73
48,68
50,28
45,83
45,34
32,20
61,56
46,36
45,53
41,11
51,49
42,41
41,41
48,18
35,59
54,0
48,42
42,4
48,38
50,34
52,62
44,14
37,0
48,41
47,56
51,39
45,15
41,75
49,12
44,54
35,46
48,77
49,40
41,55
41,39
47,37
59,68
50,18
32,50
53,55
58,75
37,19
56,14
47,29
49,84
41,6
42,36
49,82
34,13
45,56
43,53
39,40
53,38
56,72
46,28
52,95
58,24
49,46
44,14
41,88
50,0
43,9
35,71
35,9
35,15
44,40
52,18
50,31
36,82
54,33
54,19
43,59
44,14
54,60
43,68
40,88
46,2
37,83
48,23
53,56
40,79
55,7
47,73
49,2
40,49
56,25
47,97
43,24
50,77
54,29
62,90
36,3
52,17
39,71
51,0
41,32
44,60
42,8
48,37
46,95
39,4
46,15
42,87
43,36
46,38
38,37
48,3
50,38
41,44
56,41
52,14
33,40
46,62
48,43
42,76
43,50
36,49
43,80
53,30
47,1
36,45
47,4
38,0
49,38
59,16
42,79
35,20
45,99
52,31
46,36
56,54
53,33
36,50
53,66
52,56
56,35
42,22
39,50
36,41
39,65
44,27
45,78
45,32
43,21
48,0
46,63
54,43
52,1
46,43
33,12
52,76
42,26
43,12
57,74
43,5
47,29
55,61
43,34
44,26
40,7
55,84
50,31
44,2
50,41
45,68
36,26
45,27
44,44
52,22
51,32
40,26
40,33
60,1
44,19
42,29
46,112
53,7
53,90
51,1
52,22
53,43
48,49
40,57
40,37
48,65
44,5
40,37
50,27
44,74
56,6
53,79
44,0
37,2
56,32
41,38
48,98
46,77
45,6
46,51
41,0
53,37
57,34
42,93
52,9
46,39
57,88
51,44
36,14
37,48
58,51
38,77
40,20
46,77
47,15
45,98
47,15
49,36
43,36
43,89
41,18
49,69
46,35
46,47
60,32
52,58
41,20
48,78
44,38
56,48
50,69
46,29
44,77
46,29
40,105
39,29
47,57
46,41
56,28
43,60
48,35
57,20
52,97
75,25
47,25
45,100
39,40
57,4
36,36
44,40
44,34
56,2
38,73
55,32
47,52
47,42
37,28
55,12
45,36
48,26
62,29
41,43
56,86
45,22
43,86
48,19
48,99
47,59
55,69
39,72
49,62
41,105
48,30
39,77
37,10
43,90
46,3
39,74
48,34
43,83
46,49
40,17
44,16
56,89
53,42
43,26
51,119
54,12
41,117
57,9
59,86
55,23
42,48
49,10
53,37
43,26
39,19
34,88
50,50
38,74
46,24
51,78
52,62
46,12
51,63
50,1
40,33
53,21
54,72
45,20
34,100
34,23
44,44
43,94
55,9
37,84
41,38
47,25
49,96
61,31
52,33
55,66
53,32
47,35
47,24
26,63
44,5
39,30
30,52
45,17
40,64
43,8
47,42
41,46
43,31
47,54
45,9
43,43
47,36
38,43
39,74
42,10
45,17
40,5
48,73
53,60
55,45
33,65
37,76
56,27
36,93
37,34
53,30
43,39
53,33
42,81
39,15
44,74
46,1
37,40
44,17
37,32
47,0
49,28
49,6
44,95
50,3
52,78
41,4
43,77
44,52
36,98
40,51
54,0
48,43
56,24
58,51
50,8
51,34
44,51
49,0
42,36
36,70
45,33
43,96
51,21
51,47
42,77
47,34
51,25
49,20
49,54
41,17
50,75
38,21
45,61
40,83
44,65
60,75
52,0
49,86
46,24
31,78
39,2
50,52
36,3
49,33
48,40
48,51
52,68
47,83
37,12
46,77
39,47
36,77
52,117
45,8
42,48
48,38
49,102
48,8
52,46
46,4
32,108
38,8
43,38
51,41
45,16
43,87
46,7
36,50
44,24
47,5
40,24
46,38
40,13
43,42
47,16
53,68
44,21
36,42
52,96
32,26
42,87
36,5
40,57
41,35
45,78
43,3
45,76
38,17
48,58
51,39
42,97
41,41
50,42
53,12
53,26
50,33
56,2
41,39
56,23
49,71
52,14
44,69
53,76
52,18
45,37
52,73
39,23
37,49
46,64
42,40
39,48
41,101
41,13
35,70
40,35
48,42
45,84
51,24
42,14
37,30
47,65
55,46
45,72
47,44
41,22
42,23
44,28
48,99
51,3
46,42
52,74
51,21
51,89
50,22
51,67
48,20
44,38
39,26
46,95
56,63
47,38
58,21
50,7
51,30
46,25
42,57
49,41
47,48
52,45
46,61
52,26
48,42
46,19
43,22
53,75
53,34
45,85
48,5
56,44
39,72
40,92
66,18
48,34
44,76
55,42
45,2
39,62
45,35
49,40
51,23
46,105
48,5
46,51
35,44
43,33
46,78
49,10
47,33
50,17
46,66
38,33
48,21
36,22
44,91
47,1
40,51
37,45
30,19
49,35
47,89
48,26
52,45
61,32
39,87
47,9
41,42
42,88
52,22
47,75
52,28
46,84
53,1
44,69
57,42
44,63
42,12
41,81
43,22
48,70
38,44
29,47
38,107
33,23
45,71
47,41
48,47
33,6
35,50
52,24
47,85
48,8
54,59
48,27
43,84
48,46
47,13
54,72
44,33
49,68
46,25
58,32
50,19
53,32
60,35
47,23
48,36
42,91
36,30
45,23
52,35
49,9
40,80
46,49
45,82
39,40
43,93
46,0
41,61
44,21
43,58
47,31
53,93
37,101
38,9
48,33
42,27
50,71
37,52
50,47
49,15
39,40
43,12
48,28
48,42
35,103
47,32
48,94
36,21
39,58
43,13
46,77
47,16
47,41
41,34
37,13
49,21
55,47
41,28
45,104
40,9
62,87
36,33
46,40
63,41
50,34
48,68
39,4
43,43
51,32
48,62
48,10
48,42
42,46
59,68
46,42
37,6
37,33
49,46
48,21
33,52
41,41
55,82
41,24
43,26
34,56
55,16
39,45
37,51
56,91
52,45
36,56
54,10
40,55
43,43
43,31
49,65
44,45
43,14
51,103
46,4
44,74
57,12
36,26
43,47
48,8
47,68
50,25
40,73
43,68
40,21
61,64
35,51
47,51
39,19
55,33
55,69
49,48
50,34
52,37
45,74
42,0
43,36
40,52
47,36
54,75
51,20
40,36
52,110
48,11
37,64
47,30
36,116
45,16
44,48
40,22
53,35
46,89
59,33
47,71
49,9
55,36
47,107
41,92
55,40
43,86
39,17
43,37
43,16
41,28
43,94
50,38
44,82
47,20
51,41
44,79
48,75
49,10
48,91
43,14
37,87
13,33
48,66
51,19
49,80
50,20
42,72
42,41
36,89
40,65
35,29
35,61
38,21
48,31
43,53
57,0
51,34
38,92
32,9
49,8
47,92
57,0
55,88
57,33
48,42
37,25
47,89
44,40
47,43
50,20
41,53
43,3
39,78
53,77
53,2
44,30
40,0
45,53
42,35
40,97
41,4
33,41
47,2
49,25
42,14
48,71
53,0
57,98
40,49
45,28
48,62
44,95
47,20
42,73
43,59
52,22
52,91
52,26
38,55
41,29
38,66
45,100
42,11
53,67
37,38
62,31
45,19
44,76
48,0
49,74
46,30
48,34
38,31
45,19
52,18
49,65
47,43
43,72
48,18
45,59
42,44
37,103
51,15
41,42
44,85
44,27
45,13
37,40
57,52
48,34
50,53
39,72
49,2
45,49
43,3
36,39
44,37
45,34
54,66
52,31
53,89
38,68
40,9
36,50
45,27
44,44
50,72
40,28
46,74
40,15
47,19
43,17
41,68
40,26
48,94
44,38
32,67
43,10
45,8
47,53
52,16
49,39
54,85
48,43
40,71
27,53
43,25
44,93
40,21
52,29
41,49
49,34
50,103
40,53
37,26
48,67
47,35
50,89
49,41
43,24
50,59
51,36
44,60
48,24
47,94
47,4
46,11
53,44
60,74
36,33
49,27
69,70
40,47
51,105
45,11
52,75
48,2
51,53
38,15
47,56
38,0
47,29
45,43
51,46
40,39
47,1
39,40
46,46
41,55
50,8
42,25
47,40
42,48
40,83
52,36
42,27
58,55
44,53
42,23
48,48
41,54
44,79
40,36
55,52
46,46
42,37
49,37
50,79
51,25
54,91
54,29
40,21
43,27
40,7
48,55
56,52
51,92
48,0
53,81
55,12
36,45
36,11
48,41
45,20
51,95
41,11
36,91
54,27
41,45
43,32
46,84
46,105
49,16
50,78
41,36
45,37
57,42
47,62
46,76
53,7
43,79
42,31
43,20
51,76
45,60
56,58
51,95
46,20
41,51
48,14
43,40
38,36
58,89
49,15
50,30
54,34
39,6
40,38
44,49
47,65
44,11
36,96
40,27
46,82
41,33
35,22
42,46
58,92
46,46
41,28
46,63
39,9
53,32
32,109
43,10
41,64
43,22
51,46
48,8
50,34
37,57
47,37
44,102
47,16
46,47
37,46
55,29
58,93
51,1
41,42
42,11
39,73
44,19
45,44
43,73
40,8
38,77
57,54
45,64
46,4
27,42
46,17
45,20
46,48
51,16
50,53
39,7
54,31
58,67
47,50
47,64
38,105
47,12
36,44
44,3
42,92
38,6
45,20
46,30
44,28
42,50
45,27
47,67
45,4
39,32
58,77
50,13
44,51
53,6
49,54
55,17
40,43
36,0
50,36
50,85
54,25
58,78
60,23
45,40
42,98
48,18
38,38
44,73
51,13
40,40
29,69
56,31
50,65
49,17
42,90
40,23
51,10
48,42
42,61
47,35
54,24
32,99
49,0
49,39
50,26
48,13
48,35
43,61
49,56
51,24
44,84
51,5
53,54
44,47
50,59
28,41
41,30
47,63
47,14
47,96
46,24
51,61
42,47
50,107
50,7
41,30
41,20
41,14
52,49
55,100
47,19
43,96
59,28
32,49
43,68
39,38
44,79
41,13
57,28
42,77
51,1
59,37
49,94
49,51
50,33
43,90
48,6
49,27
40,66
37,100
51,19
51,9
52,39
46,71
42,37
49,96
37,8
60,60
31,52
57,4
52,74
50,9
37,23
52,24
44,102
42,3
40,85
40,17
53,94
51,28
51,68
47,13
48,25
32,46
44,33
48,25
36,25
50,95
43,24
35,85
41,37
51,74
49,14
59,71
48,58
44,53
51,75
45,11
39,16
52,13
46,55
46,10
61,45
51,45
46,95
54,14
50,92
48,4
45,73
49,1
54,45
45,4
48,41
44,13
35,22
49,24
45,51
48,38
33,75
49,37
44,30
57,56
40,17
45,55
36,27
48,75
48,33
48,106
56,14
40,15
46,21
36,71
48,14
48,45
46,28
41,73
54,13
46,27
41,49
48,52
46,19
51,27
38,8
36,42
44,69
45,82
49,7
47,54
53,82
43,13
49,57
46,39
39,86
37,13
50,32
36,0
55,39
39,42
43,53
37,30
39,96
48,14
45,48
43,34
43,39
51,44
45,17
47,24
40,77
49,24
49,23
48,35
38,101
51,44
42,82
50,61
37,84
53,41
53,42
39,77
49,39
45,101
48,41
45,69
48,22
54,57
46,41
45,18
47,85
50,2
49,67
45,27
48,96
49,33
33,65
49,17
51,103
42,4
42,46
46,74
47,35
38,5
41,84
52,45
34,108
42,17
40,24
42,77
46,69
53,29
49,34
49,9
39,49
46,28
37,83
45,4
57,98
46,0
46,16
37,43
39,81
44,38
44,103
33,35
39,1
46,39
37,23
39,57
36,54
51,31
50,77
42,5
42,29
46,20
51,75
44,19
37,38
46,78
40,28
45,78
41,51
47,70
42,29
58,5
48,41
42,24
45,20
60,42
38,80
46,0
49,28
40,66
39,32
46,34
49,43
45,26
46,44
44,50
53,16
47,26
50,76
48,10
55,33
49,37
49,63
37,13
42,69
53,35
42,20
55,34
48,70
52,15
36,67
41,42
54,25
49,42
31,50
40,64
49,49
49,32
55,21
39,102
50,0
47,52
39,38
45,41
56,49
42,44
49,35
36,106
49,5
50,42
42,69
38,39
47,39
53,39
47,65
44,31
42,18
42,39
48,6
35,33
50,74
56,62
47,22
38,44
52,73
42,22
50,35
46,61
37,4
47,48
49,12
47,39
42,34
50,91
42,66
51,33
46,53
49,26
57,79
37,37
52,80
42,43
36,22
36,34
25,26
47,75
41,4
33,45
48,31
44,17
53,58
53,19
45,39
51,88
46,1
42,24
45,85
50,34
47,42
51,92
59,27
42,16
39,25
55,1
56,41
56,101
51,21
47,3
47,59
42,11
42,56
44,11
47,43
57,69
44,10
49,50
54,1
47,33
36,80
51,38
49,91
44,87
49,2
45,55
41,15
40,80
40,31
47,40
46,22
51,90
50,12
39,50
39,28
46,105
93,94
38,9
57,47
47,26
58,54
42,15
45,59
53,45
40,79
33,54
48,34
48,40
53,71
53,13
57,48
43,35
45,49
47,36
45,92
44,11
37,14
56,73
44,36
48,83
37,4
47,87
46,48
48,32
42,18
45,59
49,47
54,29
43,58
41,18
47,52
45,8
40,49
58,84
48,85
39,33
44,59
46,58
38,13
55,0
49,69
49,100
47,0
41,52
46,6
51,26
95,81
51,11
52,69
38,47
49,14
49,41
48,70
61,16
52,53
52,106
42,7
47,41
49,35
49,44
44,24
47,38
49,37
45,78
52,49
52,56
40,11
58,50
42,36
42,59
47,46
47,10
52,28
65,15
49,61
39,64
51,72
48,48
40,83
48,47
44,63
48,12
50,41
47,27
45,19
51,38
52,38
50,13
50,39
41,45
52,97
42,61
47,14
46,92
41,10
56,39
56,24
49,23
52,88
42,4
34,21
38,40
36,91
46,14
44,51
42,45
47,24
39,82
59,0
56,27
41,79
53,34
46,20
43,96
42,0
46,42
48,56
43,61
48,46
43,85
42,17
48,30
46,6
54,61
38,27
46,54
35,41
38,101
43,60
42,41
50,74
45,0
39,39
49,40
34,98
46,23
32,35
43,86
41,11
45,69
49,9
50,38
60,94
45,9
44,71
48,37
32,20
40,21
51,32
44,83
39,4
52,62
47,60
31,78
45,47
53,86
46,5
43,38
52,15
51,69
41,12
37,55
30,72
44,25
56,68
29,17
39,32
46,103
39,27
43,46
49,37
43,35
45,39
46,60
51,62
51,33
50,32
48,55
36,25
41,40
47,15
45,39
45,57
32,33
52,25
46,32
54,42
47,52
51,39
52,50
53,25
40,64
43,15
48,38
49,44
48,80
58,46
50,19
50,24
39,30
43,15
46,34
46,41
52,37
46,30
49,67
41,26
51,48
47,35
43,61
55,30
51,40
38,39
45,40
50,80
49,6
47,32
41,74
53,61
53,0
38,68
43,44
43,7
38,15
53,39
48,77
48,79
39,29
41,41
55,35
48,84
45,38
41,82
43,20
53,38
42,58
40,10
49,42
45,94
46,69
44,54
52,31
63,65
42,21
43,71
37,14
46,8
49,27
49,22
37,90
53,67
32,19
54,52
42,0
47,43
50,48
48,87
57,1
37,82
46,47
41,36
46,36
44,72
51,22
44,76
38,11
41,57
43,43
51,43
52,5
39,50
54,24
50,94
55,34
46,84
53,50
40,0
53,98
51,24
44,51
48,67
56,30
42,79
54,27
37,45
45,51
52,31
50,120
51,71
47,16
45,28
45,64
43,72
47,39
46,28
49,27
49,34
50,53
44,56
44,20
43,45
53,44
53,58
40,31
51,107
50,27
42,14
46,42
51,6
49,40
44,28
44,32
39,30
47,33
52,10
52,80
47,38
56,26
35,93
36,1
40,88
50,0
42,36
32,59
54,47
49,56
44,43
41,52
54,104
60,13
46,80
45,16
58,19
43,29
43,86
48,36
45,37
55,34
42,28
53,44
46,14
45,83
49,19
51,91
45,14
45,9
34,8
41,44
53,39
45,32
45,114
37,1
49,52
51,1
50,40
48,31
61,72
43,25
43,86
45,4
39,67
54,60
57,73
53,35
48,78
43,8
40,33
48,21
42,3
46,28
45,102
48,53
47,70
47,82
44,9
44,45
55,53
48,44
51,49
40,39
51,38
45,96
53,27
40,3
54,40
38,62
37,43
53,33
57,64
46,3
42,34
59,42
39,29
51,29
55,29
44,42
47,20
44,44
54,91
55,0
45,61
45,17
37,22
45,25
47,90
52,21
44,47
45,45
48,56
39,21
53,45
46,11
52,61
40,83
36,1
56,21
39,33
40,58
47,77
41,4
42,70
36,30
53,94
57,54
53,0
51,73
46,16
53,41
41,0
49,39
54,20
42,33
46,100
38,29
50,85
54,9
44,45
46,28
42,70
48,18
53,47
57,37
64,96
49,23
35,39
47,97
49,19
51,40
52,34
60,85
39,19
48,29
46,19
53,84
51,0
52,45
51,95
48,43
45,7
47,45
47,79
56,104
33,46
45,33
50,88
43,38
41,11
46,31
68,22
50,15
40,64
50,9
56,80
41,75
44,25
50,59
40,29
36,87
38,13
43,42
41,88
41,44
34,3
46,11
44,48
43,59
56,77
35,22
42,43
44,17
48,42
40,60
42,110
51,45
40,45
52,94
107,31
39,71
53,54
52,60
44,37
55,99
49,7
40,11
42,29
49,20
46,64
47,32
45,83
50,0
52,6
55,32
31,100
38,30
41,69
42,45
47,94
40,8
44,87
44,52
45,46
41,33
51,76
41,77
47,41
47,16
55,17
44,63
46,61
54,47
32,63
46,46
50,103
43,72
38,2
48,44
43,2
31,38
38,8
43,39
47,91
43,19
43,0
48,49
38,2
34,43
73,22
50,115
51,31
44,98
43,70
49,19
45,102
43,69
45,11
48,33
34,29
44,107
40,18
44,63
45,37
49,69
36,23
62,83
38,9
46,57
35,51
52,86
47,52
42,89
43,13
49,2
41,44
34,10
33,41
52,75
40,27
48,79
48,19
43,102
45,0
35,55
46,93
39,47
51,12
42,50
46,6
49,39
37,10
41,46
42,40
41,31
50,79
50,66
40,56
46,47
55,32
55,50
48,7
31,66
44,27
47,71
52,25
57,97
41,0
50,18
43,14
43,23
45,42
48,85
35,19
53,86
48,12
50,51
43,96
46,10
40,48
37,25
35,77
47,1
34,48
43,27
52,23
41,109
46,0
45,82
52,16
38,8
50,2
39,60
40,45
43,77
41,18
44,61
47,4
37,33
51,26
36,41
45,84
44,13
48,106
44,23
50,73
53,38
45,99
34,5
41,64
38,58
39,69
51,25
51,18
46,41
34,54
53,76
42,45
46,37
39,88
42,13
39,81
44,21
46,62
41,5
42,28
53,92
45,41
48,59
55,45
52,66
46,71
47,4
53,41
42,34
51,79
42,55
47,16
50,46
35,23
46,17
49,50
42,33
49,70
41,77
40,4
47,46
49,0
37,67
46,44
38,26
42,27
50,29
37,94
43,40
61,35
37,65
94,34
45,29
40,44
49,95
53,18
37,81
46,90
43,4
45,67
42,28
47,56
37,17
50,39
43,70
43,87
53,8
49,32
39,88
49,18
49,52
39,103
43,41
48,0
40,42
40,27
43,79
49,46
46,41
44,80
35,83
53,23
39,76
37,50
35,89
44,16
51,32
46,20
48,49
51,28
48,22
46,95
37,29
53,67
48,17
51,28
51,51
53,67
37,8
52,43
50,65
45,33
50,95
44,3
37,27
43,63
62,24
45,31
56,81
39,14
44,17
47,41
47,1
45,23
57,32
49,12
52,35
38,38
48,69
49,21
49,108
40,2
50,49
48,75
48,32
47,64
40,57
49,38
51,95
50,0
52,47
53,34
53,12
41,88
51,8
46,65
55,11
45,43
41,7
36,45
58,90
44,18
51,61
46,20
48,89
43,9
49,43
41,54
48,33
42,83
44,24
42,68
56,2
31,15
41,27
48,89
40,15
42,41
41,47
53,51
43,12
51,77
53,41
49,102
48,4
50,57
57,22
49,33
50,101
59,19
48,68
55,28
32,52
45,6
54,31
46,26
38,56
47,29
46,5
38,54
51,11
47,41
51,74
51,42
42,21
40,66
44,20
50,53
49,0
44,33
56,66
48,11
46,42
41,13
45,34
41,52
45,28
52,79
47,13
56,11
49,53
55,8
47,48
46,41
53,70
48,1
41,43
53,29
49,55
42,25
42,96
45,12
59,40
44,13
41,33
50,68
46,25
38,79
44,2
50,39
56,29
49,16
45,71
45,32
35,68
46,33
52,83
43,16
52,41
50,75
48,77
45,20
43,32
48,47
35,12
42,49
49,36
38,2
55,55
47,28
35,89
54,27
49,67
51,35
55,55
46,80
47,14
43,59
44,20
47,49
54,11
49,16
43,34
33,21
48,23
38,5
37,42
48,75
50,45
37,57
44,101
40,0
44,46
51,49
50,64
41,3
38,39
48,59
43,18
47,29
48,83
40,6
46,53
50,20
38,113
46,26
46,54
44,29
47,50
47,34
42,5
39,48
39,0
43,78
54,34
52,42
50,19
43,28
52,21
38,30
56,87
46,16
41,50
50,4
42,45
45,73
50,10
40,59
47,3
